22_M139-15_IntMac	23_M139-15_AlvMac	26_M163-10_IntMac	27_M163-10_AlvMac	30_M59-16_IntMac	31_M59-16_AlvMac
SCCPDH	8.56825483969426	8.15009236200622	9.64706622097488	9.20681242991466	7.56721058450758	6.97496429816225
ENSMMUG00000060928	-0.621330228301024	-0.62442054816885	-0.606556332913443	-0.670534386076471	-0.670312902633719	-0.612915890914779
CNST	8.93587760569921	8.92483681576358	9.27070807188549	9.17105924278715	8.89921319683661	9.25186555481764
ENSMMUG00000059690	1.02753454704076	1.06997101861587	1.26574817810757	1.09032568204917	0.978227764059232	1.14588402800513
TFB2M	6.90790013379339	7.99038403894717	6.62439777583958	7.67796885638139	7.00536365954241	8.18533535127894
SMYD3	7.29542534234841	7.51579009712227	7.36371187895814	7.32728587253036	6.85268063540238	6.79012420781664
KIF26B	0.807704522628976	0.707472003061192	0.893597945328077	0.709212182829008	0.709827011760225	1.0128490564443
EFCAB2	6.88385064667636	6.58404223477358	6.0623407639925	6.27009602969518	6.62980101030258	6.78722455099712
ENSMMUG00000053368	3.20598960142744	3.10210072469306	3.4065760679277	2.97052031482887	3.66980099706065	3.03436273177004
HNRNPU	12.7421026593395	12.0212515974762	12.1770896619356	12.0013963600805	12.5875348881689	11.8218020849893
COX20	6.49415717564297	6.95766300875736	5.96507012219011	6.53915479916771	6.90387590725353	7.18816972614661
ENSMMUG00000062648	5.61939408118944	5.43071489209986	5.49473730297336	5.41654664129358	5.75423350742283	5.48291992260376
DESI2	9.58649432748184	9.38200634736035	9.37305848201547	9.38372308064186	9.53874527627215	9.3810076262546
CATSPERE	4.09205493526919	5.33836137069059	4.69703484359658	4.79604482806814	4.20729428872758	5.15088955976083
ENSMMUG00000062093	-1.50362755254375	-1.44084429608213	-1.4991450418626	-1.50141788207685	-1.50037705542104	-1.50095882140311
ADSS2	9.14199367049216	8.59098351875174	9.14699581514217	8.6472829224317	9.05315739564781	8.88475808113793
C1H1orf100	1.97108100201002	1.96797403362247	2.24616708310446	1.97793598326455	2.97301533996155	2.91975781307697
ZBTB18	5.95757811084628	4.57383375216018	5.51703349676902	4.5256546456066	6.27265501813256	4.63469155998992
ENSMMUG00000063991	0	0	0	0	0	0
ENSMMUG00000049847	0	0	0	0	0	0
AKT3	6.71831050937081	6.76141723903623	6.50392799318515	7.39305918178027	7.14288536864623	6.85225430607907
SDCCAG8	9.34024186284373	9.10731253131517	9.50674800224978	8.64018839888218	9.4249769951225	8.63899847122685
CEP170	10.0852667484804	9.83846873826757	10.0951857213379	9.5394802831395	10.1954599504715	9.59708366534628
ENSMMUG00000059561	0	0	0	0	0	0
ENSMMUG00000062759	0	0	0	0	0	0
PLD5	0	0	0	0	0	0
ENSMMUG00000053723	1.60140260120456	2.18138202907185	1.61078237880893	2.4779354783276	1.60801985868462	1.68764372333209
BECN2	0	0	0	0	0	0
EXO1	3.56401506836913	4.32073414652218	2.90812243770092	4.82603006557737	2.89429830177708	4.47721381621526
WDR64	2.74342058542736	4.72148979178452	3.15851315869643	4.32000288845747	2.7860323048349	5.11008552784584
OPN3	6.98452699389356	6.99373822568546	6.98783678762238	6.81391014137668	6.00231549540038	6.47912457166696
KMO	10.0275722838532	8.64084734883779	8.9783931466056	8.08102318930966	9.47009283845363	7.34382481387134
FH	9.59544284424829	9.25064884604267	9.38757117010382	9.28251955365886	9.32697948064569	9.23594792557317
ENSMMUG00000054974	0	0	0	0	0	0
RGS7	2.91996751411476	5.63237017568614	3.19072710184345	6.10646582638955	4.00741882524645	6.20391192951235
GREM2	-1.97649709416845	-1.97717357602366	-1.9736757998027	-1.9550101797761	-1.97445122972539	-1.97481739351264
FMN2	0	0	0	0	0	0
CHRM3	-1.50735507236476	-1.50874830417562	-1.46015601191428	-1.46310221854749	-1.50314156183106	-1.50389568558539
ENSMMUG00000060243	0	0	0	0	0	0
ENSMMUG00000015083	0	0	0	0	0	0
ENSMMUG00000049264	0	0	0	0	0	0
ZP4	0	0	0	0	0	0
RYR2	0.457869162014872	1.11977520813694	0.461795172762698	0.45970415919199	0.460635382908518	0.460109473878925
